Air Pressure (Hecta pascals),Air temp (deg celcius),Humidity (%),maximum Wind speed (km/h),water pressure (decibar),water temp (deg celcius)
1010.5,27.9,79.3,26.64,5.315,29.3619
1010.6,28,78.5,27,5.281,29.3629
1010.6,28.1,79.3,29.88,5.244,29.3607
1010.7,28.5,74.5,37.08,5.205,29.3571
1010.6,28,79.7,41.04,5.163,29.3546
1010.5,27.2,81.8,36.36,5.128,29.3527
1010.3,26.9,83,34.56,5.09,29.3487
1010.4,27.2,82.1,34.2,5.059,29.3423
1010.3,28.5,77.4,37.8,5.03,29.333
1010.2,28.4,74.8,43.56,4.994,29.3228
1010.1,28.4,77.5,41.76,4.96,29.3132
1010,28.2,75,37.08,4.93,29.302
1009.8,28.4,75.9,36.72,4.906,29.2944
1009.7,28.6,73.5,38.88,4.882,29.282
1009.5,28.7,73.9,43.2,4.86,29.2687
1009.4,28.7,73.6,40.68,4.843,29.2467
1009.3,28.6,75.3,42.48,4.814,29.2433
1009.2,28.7,75.5,40.32,4.796,29.2291
1009.1,28.6,74.9,41.4,4.778,29.2166
1009.1,28.8,73.7,44.28,4.758,29.2033
1009,28.6,73.9,47.16,4.749,29.1988
1009,28.7,72.5,48.6,4.738,29.1938
1008.7,28.8,74.6,44.28,4.735,29.1815
1008.6,28.8,73.4,43.56,4.732,29.175
1008.5,28.7,74.7,47.52,4.731,29.168
1008.4,28.7,73.2,44.28,4.743,29.16
1008.2,28.6,72.1,46.44,4.748,29.1539
1008.1,28.5,75.3,50.04,4.761,29.153
1008,28.6,74.1,49.32,4.783,29.1495
1008,28.6,76.6,43.56,4.806,29.1517
1007.9,28.6,76.2,45.72,4.839,29.1642
1007.8,28.7,72.4,45.36,4.874,29.1584
1007.7,28.6,73.1,44.28,4.91,29.1583
1007.6,28.7,73.6,43.92,4.963,29.1682
1007.5,28.7,73.1,43.92,5.018,29.1714
1007.4,28.7,72.7,48.24,5.07,29.1781
1007.4,28.7,73.1,48.6,5.123,29.1882
1007.4,28.6,73.9,47.16,5.177,29.1995
1007.5,28.6,73.3,45.36,5.229,29.214
1007.5,28.7,72.2,44.64,5.291,29.2226
1007.6,28.7,72.9,42.84,5.352,29.2298
1007.6,28.7,71.2,44.28,5.413,29.2445
1007.5,28.8,72.5,43.56,5.476,29.2502
1007.5,28.7,73.2,43.56,5.542,29.232
1007.5,28.7,70.7,43.56,5.601,29.2133
1007.5,28.7,70.9,39.96,5.661,29.1989
1007.6,28.7,72.6,37.08,5.722,29.197
1007.5,28.6,71.5,39.6,5.779,29.1865
1007.6,28.5,72.6,37.44,5.832,29.1853
1007.6,28.4,72.6,37.8,5.884,29.1805
1007.8,28.3,73.8,38.88,5.93,29.1755
1007.9,28.3,74.2,40.32,5.974,29.1721
1008,28.3,73.9,38.88,6.014,29.1716
1008,28.3,73.5,37.44,6.048,29.1542
1008.1,28.4,73.8,37.44,6.083,29.1292
1008.2,28.3,74.1,37.08,6.12,29.1139
1008.2,28.3,74.6,36.72,6.151,29.1244
1008.3,28.3,76.5,33.84,6.188,28.8257
1008.3,28.3,76,34.2,6.223,28.8171
1008.4,28.3,76,36.36,6.253,28.9383
1008.5,28.2,76.4,34.92,6.282,28.9095
1008.6,28.2,77,36,6.317,28.9318
1008.8,28.1,75.9,33.12,6.35,28.9512
1008.9,28.2,76.8,33.84,6.386,29.0033
1008.9,28.1,75.9,33.12,6.422,29.0335
1009.1,28.2,76.2,35.28,6.453,29.1334
1009.3,28.2,76.4,32.4,6.487,29.1568
1009.4,28.1,77,32.76,6.52,29.1539
1009.6,28.1,76.2,34.2,6.552,29.1134
1009.6,28.1,76.4,30.6,6.581,29.0658
1009.7,28.1,77,32.76,6.612,29.0575
1009.8,28.1,76.4,29.52,6.645,29.0641
1009.9,28.1,77.7,29.16,6.677,29.0743
1010,28.1,77.6,28.8,6.708,29.1026
1009.9,28.1,77.3,27.36,6.732,29.1301
1009.9,28.1,78.6,26.28,6.76,29.1295
1009.9,28,77.5,26.28,6.79,29.126
1009.9,28.1,79.9,25.92,6.813,29.1178
1010.1,28,77.9,28.08,6.833,29.1254
1010.1,28,78,28.08,6.854,29.1514
1010.1,28.1,77.8,24.84,6.874,29.1772
1010,28.2,76.7,32.4,6.886,29.1884
1010,28.5,78.7,32.76,6.894,29.1944
1010,28.4,76.6,34.56,6.899,29.2081
1009.9,28.4,77.7,37.08,6.902,29.2144
1009.8,28.3,76.9,34.92,6.904,29.2252
1009.8,28.5,77.9,35.64,6.903,29.2468
1009.7,28.4,76.5,37.8,6.893,29.2496
1009.6,28.4,76.8,38.16,6.885,29.2615
1009.5,28.4,75.7,38.88,6.875,29.2531
1009.4,28.3,77.4,36.72,6.861,29.2608
1009.3,28.2,77.9,29.16,6.847,29.2678
1009.1,28.3,77.4,36.72,6.826,29.2624
1009.1,28.4,77.6,34.92,6.803,29.2572
1009,28.3,76.4,37.08,6.776,29.2628
1008.8,28.2,78.5,31.68,6.75,29.247
1008.6,27.9,72.7,38.52,6.723,29.2292
1008.6,28,76.8,36.36,6.689,29.1939
1008.4,28.1,77.9,31.68,6.652,29.1752
1008.4,28,78.3,29.52,6.615,29.1527
1008.4,28.2,78.2,32.4,6.574,29.1368
1008.2,28.1,75.1,32.04,6.528,29.1229
1008.2,28.2,77.8,31.68,6.488,29.1188
1008.1,27.9,78.9,29.88,6.449,29.1178
1008.1,27.8,80.2,27,6.406,29.1054
1008,27.6,81.4,26.28,6.363,29.1041
1008,27.6,79.6,29.88,6.319,29.1008
1007.9,27.5,79.4,28.08,6.272,29.0971
1007.9,27.5,80,31.32,6.223,29.101
1007.9,27.4,81.2,31.68,6.178,29.0863
1007.9,27.3,80.5,32.76,6.133,29.0831
1008,27.3,80.7,29.88,6.092,29.0929
1008.1,27.4,80.4,31.68,6.047,29.1001
1008.1,27.4,80.8,31.68,6.003,29.0966
1008.2,27.4,80.4,28.08,5.958,29.0657
1008.3,27.4,81.4,26.64,5.92,29.0577
1008.2,26.6,81.3,26.64,5.882,29.0504
1008.3,26.9,82.1,16.92,5.845,29.0405
1008.4,27.2,81,23.4,5.815,29.0029
1008.5,27.5,81,23.76,5.784,29.0025
1008.6,27.5,81.2,27,5.756,28.9791
1008.7,27.5,80.1,29.16,5.733,28.9674
1008.7,27.5,80.5,27,5.707,28.9662
1008.8,27.5,80.6,25.92,5.682,28.9512
1008.9,27.5,79.6,28.44,5.666,28.9446
1009.1,27.5,79.9,29.52,5.646,28.9374
1009.3,27.5,80.2,28.44,5.636,28.938
1009.4,27.4,81,28.08,5.615,28.9429
1009.6,27.6,81.1,29.16,5.609,28.9449
1009.7,27.6,81.7,25.92,5.607,28.9465
1009.8,27.6,79.9,27.72,5.601,28.9494
1009.9,27.6,81,27,5.585,28.9482
1010,27.6,79.9,26.64,5.58,28.9459
1010.2,27.6,80.1,25.2,5.568,28.9439
1010.3,27.7,78.6,24.12,5.565,28.9455
1010.5,27.8,78.7,23.76,5.552,28.9449
1010.7,27.8,78,21.6,5.545,28.938
1010.7,27.8,78,22.32,5.533,28.9329
1010.8,27.8,80.1,22.32,5.52,28.9144
1010.9,27.8,79.1,21.24,5.501,28.9053
1010.8,28.1,79.8,19.44,5.486,28.9319
1010.8,28.2,77.7,28.08,5.47,28.9616
1010.7,28.4,76.3,31.68,5.452,28.9557
1010.7,28.5,76.4,30.96,5.426,28.927
1010.8,28.4,76.6,32.76,5.406,28.9118
1010.8,28.4,75.7,31.32,5.383,28.9257
1010.8,28.3,74.7,30.6,5.371,28.9785
1010.8,28.6,74.9,32.76,5.35,29.0126
1010.7,28.6,74.7,29.88,5.329,29.036
1010.7,28.6,75.1,30.24,5.301,29.0654
1010.6,28.6,75.6,29.52,5.279,29.0851
1010.6,28.6,75.2,29.88,5.26,29.0833
1010.6,28.7,75.4,28.44,5.227,29.075
1010.5,28.7,74.3,27.36,5.216,29.0666
1010.5,28.7,74,24.12,5.196,29.0612
1010.3,28.8,74,24.84,5.167,29.0607
1010.3,28.8,73.4,25.92,5.148,29.0613
1010.1,28.9,74,25.2,5.139,29.0696
1009.8,29,72.7,23.4,5.123,29.0663
1009.7,28.8,75.6,27.36,5.103,29.0703
1009.4,28.7,75.7,29.16,5.101,29.0824
1009.3,28.7,76.1,28.44,5.091,29.1015
1009.1,28.7,76,30.24,5.077,29.1041
1009,28.7,75.9,32.4,5.083,29.1013
1008.7,28.6,75.5,33.12,5.078,29.1013
1008.6,28.7,75.1,30.6,5.078,29.0934
1008.5,28.6,74.4,31.68,5.077,29.0866
1008.3,28.8,74.4,32.04,5.077,29.0772
1008.2,28.7,74,33.48,5.091,29.0696
1008,28.8,75.9,34.2,5.1,29.0663
1007.8,28.8,74.9,35.28,5.119,29.0732
1007.7,28.8,76.2,34.2,5.138,29.0798
1007.5,28.7,77,34.56,5.163,29.1124
1007.4,28.7,77.2,34.2,5.185,29.1426
1007.2,28.7,77,36,5.218,29.1551
1007.1,28.6,78.5,36,5.264,29.1727
1007,28.7,78.5,35.28,5.299,29.1689
1007,28.6,77,37.44,5.354,29.186
1007,28.7,77.3,35.64,5.394,29.1771
1006.8,28.7,75.5,36.36,5.452,29.1898
1006.8,28.9,78.2,37.08,5.515,29.1985
1006.7,28.9,73.7,37.44,5.571,29.2064
1006.8,28.9,75.3,37.8,5.64,29.2125
1006.7,28.8,75.7,39.24,5.696,29.2116
1006.7,28.8,77.6,40.68,5.758,29.2055
1006.7,28.7,78.8,37.8,5.82,29.1979
1006.8,28.7,78.8,37.44,5.888,29.1834
1006.8,28.6,80.1,36,5.954,29.1669
1006.8,28.6,79.5,36,6.015,29.1566
1006.8,28.7,80.2,35.28,6.077,29.1507
1006.9,28.6,78.1,38.16,6.146,29.1488
1006.9,28.8,78.4,39.24,6.209,29.149
1007,28.7,76.3,39.24,6.27,29.1528
1007.1,28.8,77.1,40.32,6.325,29.1555
1007.2,28.6,78.1,37.08,6.386,29.1565
1007.3,28.5,77,38.52,6.441,29.1646
1007.4,28.5,78.3,37.44,6.504,29.1739
1007.5,28.4,78.2,35.28,6.559,29.1967
1007.7,28.4,79.1,35.64,6.614,29.2054
1007.9,28.4,78.1,33.48,6.665,29.214
1008,28.4,78.6,35.64,6.709,29.2238
1008.1,28.4,78.2,36.72,6.753,29.2271
1008.2,28.3,78.5,33.48,6.793,29.2332
1008.3,28.3,78.5,34.2,6.837,29.2569
1008.4,28.4,79.8,34.92,6.881,29.28
1008.6,28.3,78.7,33.84,6.92,29.225
1008.6,28.3,78.3,33.84,6.943,29.2078
1008.7,28.3,77.8,32.76,6.973,29.2067
1008.9,28.3,78.2,31.68,7.002,29.2495
1009,28.2,78.7,30.24,7.025,29.3022
1009.2,28.3,78.6,30.24,7.05,29.3254
1009.4,28.3,78.1,29.16,7.078,29.3388
1009.5,28.3,79.4,32.04,7.106,29.3431
1009.6,28.4,78,29.52,7.129,29.3356
1009.8,28.3,78.5,31.68,7.154,29.2923
1009.8,28.3,77.7,31.32,7.177,29.2561
1009.9,28.3,78.6,31.68,7.204,29.2398
1009.9,28.3,79.2,32.4,7.224,29.2368
1010,28.2,78.2,32.04,7.251,29.2532
1010,28.2,77,30.24,7.27,29.2512
1010.1,28.3,76.1,27.36,7.292,29.2393
1010.2,28.3,77.7,29.88,7.308,29.2225
1010.2,28.3,78.4,28.08,7.329,29.2093
1010.2,28.3,79.6,28.08,7.346,29.208
1010.2,28.2,78.7,28.8,7.359,29.2168
1010.2,28.2,79.6,26.64,7.377,29.2269
1010.3,28.2,79.9,24.12,7.386,29.2395
1010.2,28.2,78.7,25.92,7.4,29.2505
1010.2,28,80.6,24.84,7.405,29.2563
1010.1,27.9,80.3,23.76,7.411,29.2617
1010,28,81.3,21.96,7.414,29.2657
1009.9,27.9,80.7,22.32,7.412,29.2703
1009.9,27.8,80.5,23.4,7.406,29.2719
1009.9,27.8,79.9,23.76,7.401,29.2722
1009.8,27.8,80.1,24.12,7.392,29.2687
1009.6,27.8,81.6,23.04,7.381,29.2612
1009.4,27.8,80.5,23.76,7.365,29.2556
1009.3,27.8,81.5,20.88,7.342,29.2553
1009.1,27.9,80.8,27.36,7.325,29.249
1008.9,27.9,78.9,26.28,7.298,29.2531
1008.9,27.9,78,30.24,7.266,29.2558
1008.8,28,78.8,28.44,7.237,29.2575
1008.6,27.9,79.7,27.36,7.203,29.2578
1008.5,27.9,79.6,30.96,7.167,29.2637
1008.3,27.9,80.2,28.8,7.121,29.2696
1008.2,27.9,80.9,28.8,7.082,29.2784
1008.1,27.9,80.4,24.12,7.041,29.2953
1008.1,27.8,81.8,24.12,6.992,29.3144
1007.9,27.8,80.5,25.2,6.94,29.3401
1007.9,27.8,80.5,22.32,6.886,29.3128
1008,27.8,81.7,20.52,6.84,29.2818
1008,27.7,81.8,20.88,6.79,29.2594
1007.9,27.7,81.4,22.68,6.742,29.2411
1007.9,27.5,82,21.6,6.687,29.1968
1007.9,27.5,82.9,24.12,6.64,29.1901
1008,27.4,82.1,21.96,6.588,29.1924
1008,27.4,82.7,20.16,6.531,29.1894
1008,27.4,81.1,20.88,6.482,29.1779
1008,27.5,81.6,20.16,6.429,29.1666
1007.9,27.4,80.5,21.96,6.381,29.1635
1007.8,27.6,81.4,22.32,6.336,29.1629
1007.8,27.5,81.4,22.68,6.287,29.1609
1007.7,27.5,81.6,21.6,6.241,29.1479
1007.8,27.4,81.6,22.32,6.196,29.137
1007.9,27.5,82.3,22.68,6.153,29.1318
1008,27.4,83.2,18.36,6.114,29.1343
1008.1,27.3,81.3,18.72,6.073,29.1449
1008.2,27.4,81.9,16.92,6.04,29.1458
1008.3,27.5,82.2,19.08,6,29.1528
1008.4,27.5,82.6,17.64,5.967,29.154
1008.5,27.5,81.6,18.72,5.932,29.1505
1008.6,27.5,81.3,19.8,5.9,29.1509
1008.7,27.4,83,16.2,5.879,29.1442
1008.8,27.4,81.9,18.72,5.849,29.1393
1008.9,27.4,81.5,18.36,5.828,29.1352
1009.1,27.5,81.3,16.2,5.802,29.1831
1009.2,27.4,81.9,16.92,5.78,29.1745
1009.3,27.5,80.9,18.36,5.758,29.1641
1009.4,27.5,81.6,16.56,5.739,29.1745
1009.6,27.5,81,16.56,5.725,29.1699
1009.7,27.5,81,17.64,5.708,29.1816
1009.7,27.6,80.9,16.2,5.689,29.189
1009.7,27.6,81.1,15.84,5.678,29.1581
1009.8,27.5,80.1,16.2,5.653,29.1483
1009.9,27.6,80.9,15.48,5.627,29.144
1009.9,27.6,80.3,15.48,5.611,29.1676
1009.9,27.7,79.9,16.56,5.581,29.1939
1009.9,27.9,80.3,18,5.555,29.2317
1009.9,28.2,78.4,23.04,5.532,29.2412
1009.8,28.3,78,21.6,5.505,29.2415
1009.8,28.3,76.9,21.6,5.474,29.249
1009.7,28.4,77.4,20.52,5.446,29.2812
1009.6,28.4,78.7,19.8,5.414,29.3112
1009.6,28.5,77,24.84,5.384,29.3465
1009.5,28.7,76,30.24,5.355,29.3606
1009.4,28.7,73.7,28.8,5.324,29.3646
1009.3,28.7,74.9,30.24,5.296,29.3609
1009.2,28.7,75.5,29.88,5.264,29.3506
1009.1,28.6,75.2,32.04,5.232,29.3472
1009,28.7,75.1,31.32,5.201,29.3366
1008.8,28.7,74.9,30.96,5.167,29.331
1008.7,28.8,76.1,29.88,5.136,29.3217
1008.5,28.7,75.9,27.36,5.108,29.3148
1008.3,28.7,76.1,29.88,5.078,29.3031
1008.1,28.7,75.7,29.52,5.054,29.2879
1007.9,28.8,76.2,30.6,5.033,29.2747
1007.8,28.7,74.6,28.08,5.012,29.2544
1007.6,28.7,74.8,26.64,4.991,29.252
1007.3,28.8,74.2,27,4.965,29.2333
1007.1,28.7,75.5,28.08,4.947,29.2421
1007,28.8,76.3,28.8,4.931,29.2134
1006.7,28.6,75.9,28.08,4.912,29.1531
1006.6,28.7,78.4,28.8,4.903,29.1906
1006.3,28.7,77.1,29.88,4.884,29.1593
1006.2,28.6,76.4,32.4,4.875,29.1933
1006.1,28.6,78.7,34.2,4.869,29.2162
1006,28.6,77,33.84,4.861,29.2405
1006,28.6,77.3,32.04,4.857,29.2594
1005.9,28.5,76.4,31.32,4.859,29.2679
1005.9,28.6,75.3,32.4,4.87,29.2818
1005.7,28.7,75.5,32.76,4.874,29.2784
1005.7,28.8,76.2,31.68,4.891,29.2802
1005.7,28.7,73,32.04,4.918,29.2747
1005.6,28.9,77.7,32.04,4.94,29.2744
1005.5,28.9,76.3,30.96,4.971,29.2718
1005.4,28.7,75.9,32.76,5.005,29.2715
1005.4,28.9,77.1,32.04,5.049,29.2669
1005.4,28.9,75.8,32.76,5.1,29.2644
1005.4,28.9,73.9,36.36,5.143,29.2656
1005.4,28.9,75.3,34.2,5.196,29.2631
1005.3,28.9,75.5,33.48,5.249,29.2606
1005.5,28.8,76.1,34.56,5.302,29.2581
1005.6,28.8,75.7,34.2,5.362,29.246
1005.6,28.9,75.1,31.32,5.418,29.2121
1005.7,28.9,76.4,31.32,5.476,29.238
1005.9,28.9,72.7,31.68,5.536,29.2323
1006,28.9,72.5,32.04,5.595,29.1964
1006,28.8,72.4,33.12,5.65,29.1835
1006,28.8,73.7,34.92,5.71,29.1537
1006.1,28.8,76,33.48,5.766,29.1403
1006.2,28.6,74.9,30.6,5.819,29.1095
1006.3,28.6,75.3,31.32,5.874,29.0551
1006.3,28.5,76,30.6,5.925,29.0143
1006.5,28.4,76.1,31.32,5.974,28.8472
1006.6,28.4,75.7,30.96,6.023,28.6019
1006.8,28.4,76.9,32.4,6.059,28.6239
1007,28.3,75.7,33.12,6.102,28.7566
1007.2,28.3,76.2,34.92,6.14,28.8822
1007.3,28.3,75.8,35.64,6.178,28.9939
1007.5,28.3,74.9,35.64,6.21,28.9636
1007.6,28.4,76.2,35.28,6.236,28.9987
1007.7,28.2,77.5,29.88,6.266,29.0839
1007.9,28.1,77.1,28.08,6.292,29.0818
1008.1,28.1,78.5,29.52,6.318,29.1289
1008.2,28.1,78.2,28.8,6.35,28.9467
1008.4,28.2,79.2,27.36,6.381,28.8345
1008.5,28.1,79.7,29.88,6.408,28.8136
1008.7,28.2,79.6,30.6,6.436,28.8375
1008.8,28.2,77.5,29.16,6.466,28.8979
1008.8,28.3,77.4,29.16,6.497,28.9426
1008.8,28.2,76.9,32.04,6.524,28.9887
1008.8,28.2,77.2,30.96,6.55,28.9945
1008.8,28.3,78.1,29.88,6.581,29.0215
1008.8,28,76.4,30.6,6.611,29.0295
1008.8,28.3,77.6,28.8,6.643,29.0362
1008.8,28.2,78.3,29.88,6.676,29.0369
1008.8,28.2,78.8,30.24,6.703,29.0905
1008.8,28.1,78.9,30.96,6.73,29.1323
1008.8,28.1,78.1,32.04,6.758,29.1436
1008.7,28.1,79.3,30.96,6.782,29.153
1008.5,28.1,79.2,33.48,6.805,29.1573
1008.5,28.1,79.1,33.84,6.825,29.159
1008.3,28.1,78,33.48,6.845,29.1774
1008.2,28.2,78.4,35.28,6.865,29.2137
1008.2,28.1,78.9,34.56,6.882,29.209
1008.2,28.1,78.2,34.56,6.894,29.2256
1008,28.1,78.2,29.16,6.905,29.2254
1007.9,28.1,77.5,28.44,6.917,29.25
1007.8,28.1,77.8,26.28,6.917,29.2781
1007.7,28,79.7,25.2,6.915,29.306
1007.6,27.9,77.5,27.72,6.912,29.336
1007.4,28,79.6,27.72,6.907,29.3518
1007.3,27.9,79.2,26.28,6.901,29.3503
1007.3,27.8,79.7,22.68,6.888,29.3375
1007.1,27.8,80.2,24.84,6.875,29.2957
1007,27.7,79.5,25.56,6.858,29.2649
1006.9,27.6,80.1,23.76,6.837,29.2512
1006.8,27.5,80.8,25.56,6.815,29.2386
1006.6,27.5,80.9,24.12,6.793,29.2244
1006.4,27.5,80.4,24.48,6.761,29.2157
1006.3,27.5,80.2,24.48,6.729,29.2084
1006.3,27.4,82,24.84,6.697,29.2061
1006.3,27.4,80.3,23.76,6.663,29.2025
1006.3,27.3,81.1,22.68,6.627,29.2008
1006.3,27.3,80.7,22.68,6.59,29.1972
1006.4,27.3,80.5,22.68,6.551,29.1945
1006.4,27.3,81.3,24.12,6.513,29.1914
1006.3,27.5,80.1,23.04,6.468,29.1882
1006.3,27.4,79.7,21.96,6.427,29.1865
1006.3,27.4,80.7,19.44,6.384,29.1875
1006.4,27.5,79.1,21.6,6.339,29.1875
1006.3,27.6,79.3,22.32,6.291,29.1865
1006.4,27.7,79.5,22.32,6.247,29.1863
1006.4,27.8,79.6,20.88,6.206,29.185
1006.3,27.8,80.8,20.88,6.162,29.1765
1006.4,27.9,78,21.6,6.114,29.1707
1006.5,27.9,77.4,26.64,6.072,29.1641
1006.6,28,76.7,27.36,6.031,29.1619
1006.6,28.1,77.6,29.16,5.992,29.1575
1006.7,28.1,76.4,27.36,5.955,29.1543
1006.9,28.1,77.3,26.28,5.917,29.1485
1007,28.2,76.2,32.4,5.887,29.1479
1007.2,28.1,76.4,25.56,5.855,29.1479
1007.3,28.2,75,31.68,5.824,29.1409
1007.6,28.2,74.7,29.52,5.798,29.1366
1007.7,28.3,72.9,34.2,5.774,29.1209
1007.9,28.3,73,32.4,5.747,29.0805
1008,28.3,73.9,34.56,5.726,29.0791
1008,28.5,70.9,34.92,5.709,29.0715
1008,28.5,73.6,33.84,5.693,29.0558
1008.2,28.5,74.3,33.84,5.684,29.0348
1008.3,28.5,73.5,34.92,5.678,29.0276
1008.5,28.5,73.2,37.44,5.667,29.028
1008.7,28.5,72.6,36.36,5.658,29.0267
1008.8,28.5,72.6,35.64,5.652,29.0228
1008.8,28.6,72,34.92,5.649,29.0221
1009,28.6,72.8,36.72,5.646,29.02
1009,28.5,72.6,37.8,5.639,29.0216
1009,28.6,71.9,39.96,5.635,29.024
1009.1,28.5,72.4,38.52,5.634,29.0257
1008.9,28.5,70.6,35.28,5.632,29.0237
1008.9,28.6,70,34.56,5.629,29.0209
1008.9,28.7,70.6,33.48,5.622,29.0228
1008.9,28.6,70,32.76,5.613,29.0308
1008.8,28.6,70.4,31.32,5.602,29.0441
1008.8,28.6,71.2,28.44,5.591,29.0655
1008.8,28.7,69.8,29.52,5.569,29.084
1008.7,28.7,69.4,29.52,5.549,29.0916
1008.7,28.8,71.6,30.24,5.529,29.0896
1008.5,28.7,68.8,28.44,5.514,29.0862
1008.3,28.7,70.5,28.08,5.496,29.0952
1008.2,28.7,72.1,28.8,5.482,29.1044
1008,28.7,71.2,27,5.459,29.118
1007.9,28.6,69.8,25.92,5.439,29.1291
1007.7,28.7,69.8,27,5.419,29.1407
1007.5,28.7,71,24.84,5.399,29.1587
1007.4,28.7,70.6,23.76,5.38,29.165
1007.2,28.7,70.3,24.48,5.364,29.1694
1007.1,28.7,69.7,25.2,5.351,29.1689
1007,28.8,70.6,29.52,5.328,29.1689
1006.8,28.7,69.9,30.24,5.311,29.1656
1006.7,28.7,71.2,30.96,5.301,29.1656
1006.4,28.6,72.1,32.04,5.283,29.1649
1006.3,28.7,70.4,34.56,5.279,29.1656
1006.1,28.5,72.8,32.04,5.27,29.1698
1006,28.5,73,32.04,5.262,29.171
1005.9,28.5,72.5,32.76,5.261,29.1739
1005.8,28.5,73,33.48,5.259,29.1777
1005.7,28.5,73.4,33.84,5.259,29.1808
1005.6,28.6,72.1,31.32,5.257,29.1898
1005.5,28.6,72.1,30.24,5.257,29.1955
1005.4,28.6,73.8,29.52,5.265,29.1967
1005.3,28.7,73.9,32.04,5.269,29.1954
1005.2,28.7,75.1,30.96,5.284,29.1948
1005.2,28.7,72.7,32.76,5.291,29.1974
1005.1,28.9,71.4,30.24,5.307,29.208
1005,28.9,71.3,30.24,5.328,29.2159
1005,28.7,73,32.4,5.345,29.2293
1005.1,28.8,73.4,32.4,5.379,29.2521
1005.1,28.9,70.1,36,5.41,29.2603
1005.1,29,72.5,36,5.444,29.2763
1005.2,28.9,74.4,34.92,5.481,29.284
1005.2,28.7,72.2,37.08,5.516,29.2939
1005.3,28.8,72.1,35.64,5.56,29.3033
1005.3,28.8,75.3,36,5.601,29.3116
1005.4,28.8,73.8,39.24,5.656,29.3122
1005.5,28.7,71.5,40.32,5.709,29.3148
1005.5,28.6,73.3,38.16,5.757,29.3162
1005.5,28.7,73.3,39.24,5.814,29.3141
1005.7,28.5,71,39.24,5.862,29.3116
1005.8,28.8,73.2,37.44,5.912,29.3055
1005.9,28.6,75.2,39.96,5.969,29.295
1005.9,28.6,74.7,38.52,6.025,29.2825
1005.9,28.5,75.9,35.64,6.077,29.2748
1006,28.5,75.4,37.08,6.138,29.2621
1006.2,28.5,74.2,40.32,6.197,29.2546
1006.4,28.5,77.9,35.64,6.249,29.2453
1006.6,28.4,76.5,36,6.302,29.2371
1006.7,28.3,75.8,36,6.347,29.2364
1006.9,28.3,77.8,37.44,6.396,29.2402
1007,28.2,75,33.48,6.446,29.2405
1007.1,28.2,75.5,34.92,6.499,29.2479
1007.3,28.3,76.2,32.4,6.547,29.2534
1007.4,28.2,76.1,34.2,6.591,29.2639
1007.6,28.4,76,34.2,6.632,29.2867
1007.8,28.3,76.5,33.84,6.67,29.3078
1007.9,28.4,75.3,34.56,6.706,29.3097
1008.1,28.4,75.2,33.12,6.738,29.3184
1008.2,28.3,74.1,33.84,6.773,29.3297
1008.2,28.4,74.9,33.12,6.8,29.3481
1008.4,28.3,74.3,31.32,6.827,29.3591
1008.4,28.4,75,32.76,6.85,29.3664
1008.6,28.3,75.3,31.68,6.868,29.3743
1008.8,28.5,73.9,33.12,6.886,29.3806
1008.8,28.4,74.6,35.28,6.904,29.3823
1008.8,28.3,76.4,32.76,6.923,29.3833
1008.7,28.3,75.3,32.04,6.939,29.3824
1008.7,28.3,76.5,34.2,6.96,29.381
1008.8,28.3,75.9,31.68,6.977,29.3867
1008.8,28.3,76.4,34.2,6.996,29.3749
1008.8,28.2,76.5,33.12,7.016,29.368
1008.7,28.3,76,30.6,7.029,29.3491
1008.4,28.2,74.1,30.6,7.05,29.3395
1008.2,28.3,73.8,29.88,7.063,29.3272
1008.2,28.3,73.1,28.8,7.075,29.3217
1008.1,28.3,73.8,31.68,7.093,29.3197
1008.2,28.3,73.6,32.4,7.102,29.3032
1008.2,28.3,74.8,30.24,7.114,29.297
1008.1,28.3,76.2,28.8,7.125,29.2944
1008.1,28.1,76.5,29.88,7.136,29.2955
1008,28.1,77.3,32.04,7.143,29.2791
1007.9,28,78.2,26.64,7.149,29.2756
1007.7,27.9,79.2,23.76,7.155,29.28
1007.6,27.9,78.2,21.6,7.157,29.2938
1007.5,27.8,78.5,22.68,7.161,29.3004
1007.4,27.8,80,22.32,7.16,29.3085
1007.3,28,79.6,31.68,7.154,29.3145
1007.2,27.9,78,30.24,7.148,29.3254
1007.2,28,78.8,32.04,7.14,29.3286
1007,28.1,78.2,29.16,7.128,29.3344
1007,28,77.7,29.88,7.117,29.3487
1006.9,28.1,79.8,29.88,7.1,29.3821
1006.9,28.1,80.3,27,7.076,29.396
1006.7,28.2,79.1,27,7.052,29.4139
1006.7,28.1,78.4,29.16,7.026,29.4396
1006.8,28,78.7,27.72,6.999,29.4485
1006.8,28.1,78.9,28.08,6.972,29.4346
1006.9,28.1,79.6,25.56,6.939,29.4053
1006.8,28.1,78.4,25.2,6.901,29.3943
1006.8,28.1,78.6,28.44,6.861,29.3891
1006.8,28.1,78.7,26.64,6.818,29.3913
1006.8,27.9,80.1,19.8,6.777,29.4167
1006.8,27.7,81.5,21.6,6.732,29.4213
1006.7,27.7,81.4,20.88,6.689,29.4195
1006.7,27.7,81.7,20.88,6.644,29.4177
1006.9,27.6,81.5,20.88,6.602,29.4111
1006.9,27.5,81.8,19.08,6.555,29.3802
1007,27.6,81.9,20.52,6.507,29.3711
1007.1,27.5,82.4,18,6.458,29.3736
1007.2,27.5,82.7,19.44,6.407,29.3548
